tortured_phrase,expected_phrase,num_papers
"""machine knowledge""",machine learning (in this context),"3,818"
"""test technique"" AND ""analysis method""",Analysis Method,"3,579"
"""AI calculation""",machine learning algorithm,"3,562"
"""heart ailments""",heart disease,"3,560"
"""liver ailments""",liver disease,"3,502"
"""distinguishing proof""",identification,"3,365"
"""preparation set""",training set,"3,087"
"""discourse highlights""",acoustic features,"3,073"
"""monetary development""",economic development/profit growth,"3,041"
"""programmed learning""",machine learning,"3,023"
"""preparing information""",training data,"2,983"
"""limited motivation""",finite impulse response,"2,979"
"""machine interpretation""",machine translation,"2,963"
"""exactness accuracy""~5",accuracy,"2,949"
"""chief parts""",principal components,"2,899"
"""crown epidemic""",corona epidemic,"2,884"
"""recurrence range""",frequency range,"2,842"
"""surface highlights"" NOT specular",surface features,"2,796"
"""DDoS assault""",Distributed denial-of-service (DDoS) attack,"2,772"
"""concealed layer""",hidden layer,"2,758"
"""bunch size""",batch size,"2,730"
"""informational index""",dataset,"2,713"
"""consideration system""",attention mechanism,"2,682"
"""heat move""",heat transfer,"2,665"
"""highlight extraction"" NOT specular",feature extraction,"2,551"
"""info information""",input data,"2,473"
"""genuine positive"" AND ""true positive""",true positive,"2,413"
"""include descriptor""",feature descriptor,"2,404"
"""substantial metals""",heavy metals,"2,371"
"""informational collection""",dataset,"2,362"
"""abnormality identification""",anomaly detection,"2,323"
"""driving reason""",leading cause,"2,320"
"""heat movement""",heat transfer,"2,293"
"""speaker display""",speaker model,"2,256"
"""PC vision""",computer vision,"2,207"
"""utility lattice""",utility grid,"2,170"
"""named information""",labeled data,"2,168"
"""cyber assault""",cyber attack,"2,164"
"""ruinous"" AND ""acid""",acid,"2,159"
"""hazard ratio (RR)""",relative risk (please note that the HR does exist),"2,149"
"""electrical gadget""",electronic device,"2,097"
"""as pursues""",as follows,"2,096"
"""crude information""",raw data,"2,077"
"""reactive blend""",reaction mixture,"2,048"
"""activation work""",activation function,"2,040"
"""project memory""",system memory,"1,961"
"""choice tree""",decision tree,"1,916"
"""creepy crawlies""",insect,"1,895"
"""DoS assault""",denial-of-service (DoS) attack,"1,863"
"""covered layer""",hidden layer,"1,852"
"""neural associations""",neural networks,"1,847"
"""data and innovation""","\""information technology (IT)\""","1,835"
"""network safety"" AND ""network security""",network security,"1,829"
"""pre-handling""",preprocessing,"1,821"
"""disappearing gradient problem""~5",vanishing gradient problem,"1,809"
"""face acknowledgment""",face recognition,"1,809"
"""kidney ailments""",kidney disease,"1,804"
"""wavelet change""",wavelet transform,"1,800"
"""neuron yield""",neuron output,"1,718"
"""preparation dataset""",training dataset,"1,686"
"""concealed state""",hidden state (in HMM),"1,672"
"""Navier-Stocks""",Navier-Stokes,"1,663"
"""eye ailments""",eye disease,"1,661"
"""rigid portions""",crosslinking reagent (?),"1,651"
"""oblivious blind""~20",blind (visually impaired),"1,570"
"""image determination""",image resolution,"1,569"
"""actually occur"" AND ""true positive""",true positive,"1,566"
"""recommender framework""",recommender system,"1,564"
"""continuous neural network""",recurrent neural network,"1,560"
"""confrontation network""",adversarial network,"1,540"
"""informative indexes""",datasets,"1,524"
"""oral tract""",vocal tract,"1,523"
"""dimensionality decrease""",dimensionality reduction,"1,523"
"""directed learning"" AND ""supervised learning""",supervised (machine) learning,"1,517"
"""picture acknowledgment""",image recognition,"1,504"
"""data technology (IT)""",information technology,"1,499"
"""administered ML""",supervised machine learning,"1,478"
"""video acknowledgment""",video recognition,"1,430"
"""discourse samples""",speech samples,"1,419"
"""vitality utilization""",energy use,"1,414"
"""binary grouping""",binary classification,"1,376"
"""observational examination""",observational study,"1,367"
"""limit layer""",boundary layer,"1,325"
"""regulated learning"" AND ""supervised learning""",supervised learning,"1,321"
"""high-exactness""",high-resolution,"1,303"
"""sound individuals""",healthy individuals,"1,288"
"""antagonistic discourse""",hate speech,"1,288"
"""picture order""",image classification,"1,284"
"""as takes after""",as follows,"1,279"
"""deep studying""",deep learning (DL),"1,263"
"""coronary illness""",coronary artery disease,"1,252"
"""preparation stage"" AND ""training stage""",training stage,"1,251"
"""universal exchange""",global trade,"1,239"
"""picture division""",image segmentation,"1,230"
"""point birth""",feature extraction,"1,215"
"""positive societies""",positive cultures,"1,214"
"""Euclidean separation""",Euclidean distance,"1,201"
"""neural community"" AND ""neural network""",neural network,"1,199"
"""pre-preparing""",preprocessing,"1,187"
"""example arrangement""",pattern recognition,"1,163"
"""independent learning"" AND ""unsupervised learning""",unsupervised learning,"1,154"
"""device studying""",machine learning (ML),"1,152"
"""face acknowledgement""",face recognition,"1,133"
"""computerized reasoning""",artificial intelligence,"1,129"
"""simulated intelligence""",artificial intelligence,"1,108"
"""shared data"" AND ""mutual information""",Mutual Information (MI),"1,101"
"""man in the center""",man-in-the middle (attack),"1,081"
"""region under the curve""",area under the curve (AUC),"1,066"
"""characterization relapse""~5",classification and regression,"1,065"
"""malignancy finding""",tumor detection,"1,065"
"""study database"" AND ""training dataset""",training dataset,"1,048"
"""secret layer""",hidden layer,"1,045"
"""prophetic model""",predictive model,"1,045"
"""optical stream""",optical flow,"1,021"
"""Fourier change""",Fourier transform,"1,020"
"""coronary conduit""",coronary artery,"1,011"
"""whitening equation""",bleaching kinetic,"1,010"
"""abnormality recognition""",anomaly detection,"1,006"
"""component map"" AND ""CNN""",feature map,"1,005"
"""text arrangement""",text classification,"1,003"
"""picture preparing""",image processing,993
"""area unit"" AND ""square measure""","The word ‘are’ as in the conjugated verb ‘be’, see https://pubpeer.com/publications/57C388D664E1F25E918F2D2CE623D5#2",982
"""supply route"" AND artery",artery,976
"""tremendous data"" AND ""big data""",big data,971
"""computer-based intelligence""","artificial intelligence (or possibly \""machine learning\"")",968
"""content arrangement"" AND ""classification""",content classification,959
"""backward probability"" NOT ""Markov""",posterior probability,954
"""recurring neural network""",recurrent neural network,948
"""carbon discharge"" AND ""carbon emission""",carbon emission,943
"""discourse acknowledgment""",voice recognition,938
"""deep mastering""",deep learning (DL),936
"""information stockpiling""",data storage,935
"""phishing assault""",phishing attack,932
"""acknowledgment framework""",recognition system,919
"""down-examining""",downsampling,900
"""natural corruption""",environmental degradation,899
"""nanofluid stream""",nanofluid flow,891
"""convolutional neural system""",convolutional neural network (CNN),890
"""attractive separation""",Magnetic separation,887
"""NP-difficult""",NP-hard,886
"""elderly folks""",older adults,886
"""big information"" AND ""big data""",big data,884
"""discourse signal""",speech signal,881
"""buried layer"" AND ""hidden layer""",hidden layer,881
"""colossal data"" AND ""big data""",big data,875
"""energy proficiency""",energy efficiency,875
"""yield layer"" AND neural",output layer,874
"""hereditary calculation""",genetic algorithm,874
"""inadequate change""",sparse transformation,872
"""power-law change""",power-law transformation,872
"""emotion acknowledgment""",emotion recognition,864
"""persistent speech""",continuous speech,861
"""profound layers""",deep layers,858
"""energy ingestion""",energy consumption,855
"""thimbleful""",teaspoonful (sometimes in patient consent forms),851
"""prescient model""",predictive model,849
"""get right of entry to""",access,848
"""resistant framework""",immune system,846
"""voice highlights""",acoustic features,846
"""pre-prepared"" AND ""pre-trained""",pre-trained,842
"""protein crown""",protein corona,841
"""patient gathering""",patient group,835
"""brilliant"" AND ""keen"" AND ""savvy"" AND ""shrewd""",smart (devices),834
"""design acknowledgment"" AND ""pattern recognition""",pattern recognition,833
"""help vectors"" AND ""support vectors""",support vectors (in SVM),822
"""cross-approval""",cross-validation,821
"""CO2 emanation""",CO2 emission,815
"""approval dataset""",validation dataset,810
"""discourse acknowledgement""",voice recognition,801
"""poisonous impacts""",toxic effects,799
"""conveyance framework""",delivery strategy/system,797
"""balance operator""",Stabilizing agent,793
"""ecological alteration"" AND ""climate change""",climate change,793
"""Denial of Service assault""",Denial of Service (DoS) attack,789
"""PC assisted""",Computer aided (e.g. CAD),788
"""choice boundary""",decision boundary,782
"""imaginative and prescient""",vision,782
"""genuine negative"" AND ""true negative""",true negative,771
"""rate focuses""",percentage points,768
"""help vector machine""",support vector machine (SVM),761
"""working framework"" AND ""operating system""",operating system,758
"""counterfeit news""",fake news,755
"""enhancement calculation"" AND optimiz*",optimization algorithm,754
"""issue acknowledgment"" AND ""fault""",fault analysis/diagnosis,754
"""deep gaining knowledge""",deep learning,754
"""bogus news"" AND ""fake news""",fake news,754
"""smart coordination""",intelligent logistics,745
"""preparing design""",training sample,742
"""actuation capacities""",activation functions,740
"""customary strategies""",conventional methods,734
"""deep getting to know""",deep learning,733
"""misleading negative""",False Negative (FN),729
"""bunching clustering""~20",clustering,728
"""the taking after""",the following,719
"""boosting converter""",voltage buck-boost converter,717
"""convolutionary neural networks""",convolutional neural networks,712
"""mind waves""",brain waves,707
"""preparing set""",training set,707
"""radio wire"" AND ""antenna""",antenna,706
"""initiation work""",activation function,704
"""market effectiveness"" AND ""market efficiency""",market efficiency,704
"""completely associated layer""",fully connected layer (neural network),703
"""selection tree"" AND ""decision tree""",decision tree,702
"""result layer"" AND ""output layer""",output layer (in a neural network),701
"""arrangement calculation""",classification algorithm (?),701
"""china national knowledge internet (CNKI)""",china national knowledge infrastructure,699
"""speech acknowledgment""",speech recognition,697
"""preparing dataset"" AND ""training dataset""",training dataset,696
"""optimistic impact""",positive effect,696
"""Alzheimer's illness""",Alzheimer's disease,692
"""profound education""",deep learning,692
"""fow cytometry""",Flow Cytometric Analysis,691
"""thick woods"" AND ""learning""",dense forest,687
"""middle filter""",median filter,684
"""fundamental metals""",essential metals,680
"""stop-customers""",end-users,680
"""machine gaining""",machine learning,678
"""plant ailments""",plant disease,674
"""Web of Things (IoT)""",Internet of Things (IoT),659
"""image fragmentation""",image segmentation,656
"""super vector machine""",support vector machine (SVM),651
"""coronary course""",coronary artery,651
"""actuation work""",activation function,650
"""profound model""",deep model,649
"""man-made brainpower""",artificial intelligence,647
"""gadget learning""",machine learning,647
"""steering convention""",routing protocol,643
"""device mastering""",machine learning,643
"""disposition issues""",mood disorders,642
"""man-made consciousness""",artificial intelligence,635
"""man-made intelligence""",artificial intelligence,631
"""digital assault""",cyber attack,631
"""directing convention""",routing protocol,631
"""calculated relapse""",logistic regression,624
"""precious stones crystals""~10",crystals,624
"""getting to know algorithm""",learning algorithm,620
"""acknowledgment rate""",detection rate (DR),619
"""vitality source""",energy source,618
"""administered learning""",supervised learning,617
"""man-made reasoning""",artificial intelligence,615
"""voice acknowledgment""",voice recognition,611
"""smart agreement""",smart contract,608
"""time rot""",time decay,601
"""repetitive layers""",recurrent layers,601
"""Parkinson's illness""",Parkinson's disease,597
"""cloud worker""",cloud server,596
"""info picture""",input image,596
"""versatile hub""",mobile node,595
"""gathering of patients""",patient group,594
"""feeling identification""",emotion identification,586
"""malware assault""",malware attack,585
"""ReLU perform""",ReLU function,582
"""discourse signs""",speech signal,580
"""Kalman channel""",Kalman filter,579
"""lipid-based transporters""",lipid-based carriers,578
"""radio recurrence""",radio frequency,578
"""hyperspectral picture""",hyperspectral image (HSI),575
"""machine studying"" AND ""machine learning""",machine learning,574
"""direct relapse""",linear regression,573
"""short blast""",explosion,570
"""cooling framework""",cooling system,569
"""machine insight""",Machine Learning (ML),568
"""social detachment"" AND COVID",social distancing,564
"""DNA harm""",DNA damage,562
"""Undefined material""",amorphous material,562
"""system mastering"" AND ""machine learning""",machine learning,560
"""Gabor channel""",Gabor filter,559
"""machine literacy"" AND ""machine learning""",machine learning,554
"""medication conveyance""",drug delivery,551
"""brilliant detecting""",smart sensing,551
"""exploratory outcomes"" AND ""experimental results""",experimental results,550
"""credibility hypothesis""",probability theory,548
"""solo learning""",unsupervised (machine) learning,548
"""bogus positive""",false positive,548
"""transformative climate adaptation""",???,539
"""genetic calculation"" AND ""genetic algorithm""",genetic algorithm,538
"""fake neural""",artificial neural (network),537
"""issue acknowledgement"" AND ""fault""",fault analysis/diagnosis,536
"""gigantic data"" AND ""big data""",big data,535
"""system getting to know""",machine learning,534
"""pixel esteems""",pixel values,532
"""stage pay""",phase compensation,529
"""machine getting to know""",machine learning,528
"""blood clusters""",blood clots,527
"""Associate in Nursing"" AND ""area unit""",paraphrased versions of the words ‘an’ and ‘are’ (see https://pubpeer.com/publications/38119B560544003CFD49520629BEEC),526
"""mystery key"" AND ""encryption""",secret key (cryptography),523
"""blunder rate""",error rate,520
"""programming dialect""",programming language,518
"""machine gaining knowledge""",machine learning,517
"""counterfeit neural""",artificial neural (network),517
"""gadget studying""",machine learning,516
"""device getting to know""",machine learning,514
"""Herbal Language""",Natural Language,510
"""straight relapse""",linear regression,509
"""recurrence area"" AND ""signal""",frequency domain,507
"""highlight vector""",feature vector,506
"""cutting edge sequencing""",NGS (Next-Generation Sequencing),503
"""gadget mastering""",machine learning,498
"""feeling recognition""",emotion recognition,496
"""PV board""",PV panel,494
"""excretion of CO2""",emission of CO2,493
"""cancer grouping""",cancer classification,492
"""limit esteem""",threshold value,491
"""breeze energy""",wind energy,491
"""greenhouse gas discharges""",greenhouse gas emissions,489
"""reusable energy"" AND ""renewable energy""",renewable energy,487
"""nitrogen climate""",nitrogen atmosphere,485
"""heart sickness""",heart disease,483
"""assault model""",attack model,480
"""direct blend""",linear combination,477
"""strategic relapse""",logistic regression,474
"""shading space""",color space,473
"""system gaining knowledge of""",machine learning,469
"""grouping relapse""~5",classification and regression,467
"""machine-gaining knowledge of""",machine learning,464
"""false error rate""",error rate,464
"""speech acknowledgement""",speech recognition,464
"""repetitive neural network""",recurrent neural networks (RNN),461
"""computer-generated reality""",virtual reality (VR),461
"""motivation reaction""",impulse response,456
"""touchy information""",sensitive data,454
"""characteristic channel"" AND ""feature channel""",feature channel,452
"""convolutional neural organization""",convolutional neural network,451
"""vitality productivity""",energy efficiency,451
"""ozone harming substance""",ozone-depleting substance,450
"""genome altering""",genome editing,449
"""design acknowledgement"" AND ""pattern recognition""",pattern recognition,448
"""synthetic intelligence (AI)""",artificial intelligence (AI),445
"""gadget getting to know""",machine learning,445
"""edge esteem""",threshold value,445
"""gadget gaining knowledge""",Machine Learning (ML),445
"""indispensable organs""",vital organs,444
"""hyperspectral snapshots""",hyperspectral images,443
"""bouncy force""",buoyancy force,443
"""maximum variance cluster""",???,442
"""warm conductivity""",heat conductivity,440
"""squares blockchain""~5",blocks,440
"""records mining"" AND ""data mining""",data mining,439
"""dispersed age""",distributed generation,438
"""bolster vector""",support vector (in SVM),437
"""sign to noise""",signal to noise,433
"""128 pieces""",128 bits,433
"""herbal language processing""",natural language processing (NLP),432
"""accuracy and review""",precision and recall,432
"""picture recovery""",image retrieval,432
"""fluffy rationale""",fuzzy logic,430
"""human blunder""",human error,427
"""constrained Boltzmann Machines""",restricted Boltzmann Machines (RBM),426
"""randomized controlled preliminary"" NOT ""randomized controlled preliminary trial""",Randomized control trial (RCT),425
"""progress metal""",transition metal,425
"""enactment work""",validation function,423
"""exactness rate""",accuracy rate,423
"""profound convolutional""",deep convolutional (neural network),422
"""replay assault""",replay attack,421
"""steering table"" AND network",routing table,418
"""discourse record""",speech transcription,415
"""internet learning"" AND ""Machine learning""",Machine learning,415
"""picture grouping""",image classification,413
"""attractive reverberation""",magnetic resonance,412
"""recurrence space""",frequency domain,411
"""shading pictures""",color images,408
"""equal calculation""",parallel computing,408
"""molecule swarm""",particule swarm,408
"""net of factors""",Internet of Things (IoT),406
"""navies bayes""",Naïve Bayes,405
"""creature models""",animal models,403
"""measurable investigation""",Statistical analysis,402
"""measurable learning"" AND ""deep learning""",deep learning,402
"""weight esteem""",weight value,401
"""unseen layer""",hidden layer,400
"""info layer""",input layer,399
"""interruption discovery""",intrusion detection,398
"""information digging""",data mining,396
"""botnet assault""",botnet attack,396
"""limited Boltzmann machine""",Restricted Boltzmann Machine (RBM),391
"""community security"" AND ""network security""",network security,390
"""storage gadget""",Multi-Agent gadget,388
"""carbon emanation""",carbon emission,387
"""deep literacy"" AND ""deep learning""",deep learning,387
"""reset door""",reset gate (a part of GRU),383
"""fake knowledge""",artificial intelligence,383
"""remote detecting"" AND ""remote sensing""",remote sensing,379
"""executive framework"" AND ""management system""",management system,379
"""p esteem""",p value,378
"""GHG discharge""",GHG emission,376
"""angle plunge""",gradient descent,375
"""compound designing""",chemical engineering,374
"""delicate information"" AND ""sensitive data""",sensitive data,374
"""perception vector""",observation vector,372
"""interruption recognition""",intrusion detection,370
"""thyroid lump""",thyroid gland,369
"""populace size""",population size,368
"""delicate data"" AND ""sensitive data""",sensitive data,367
"""reverberation frequency""",resonance frequency,367
"""consideration instrument""",attention mechanism,366
"""voice acknowledgement""",voice recognition,366
"""traffic designs"" AND ""traffic patterns""",[network] traffic patterns,366
"""convolutional brain organization""",convolutional neural network (CNN),364
"""dialect model""",language model,364
"""transfer studying""",transfer learning,364
"""unique finger impression""",fingerprint,363
"""vaticination"" AND ""algorithm""",prediction,363
"""electrical vitality""",electrical energy,361
"""discovery calculation""",detection algorithm,361
"""vital success factor""",critical success factor (CSF),360
"""factor inquiry""",factor analysis (FA),359
"""identification and arrangement""",identification and classification,357
"""picture dealing with""",image processing (?),356
"""scopes of distance""",???,356
"""shrouded layer""",hidden layer,355
"""thick scattering"" AND ""heat""",viscous dissipation,355
"""preparation arrangement""",training set,353
"""coasting point""",Floating point,353
"""back spread"" AND neural",back propagation,352
"""bolster vector machine""",support vector machine (SVM),351
"""incorporated circuits""",integrated circuits,351
"""Transform woods""",random forest (RF),350
"""Walk 2020""",March 2020,347
"""genuine positive rate""",true positive rate (TPR),346
"""intensity and vulnerability""",strengths and weaknesses?,345
"""result door""",output gate (a part of LSTM),345
"""speech intelligence""",speech intelligibility (?),344
"""thermogravimetric examination""",thermogravimetric analysis (TGA),343
"""concealed node""",hidden node,342
"""measurable technique""",statistical method,338
"""ROC bend""",ROC curve,338
"""environmentally conscious method""",???,337
"""strategy recurrence""",logistic regression,337
"""quality regulation"" AND ""gene regulation""",gene regulation,337
"""adjustment time"" AND ""setup time""",setup time,336
"""feeling acknowledgment""",emotion recognition,335
"""activation ability"" AND ""activation function""",activation function,334
"""back proliferation""",back-propagation,333
"""facial acknowledgment""",face recognition,333
"""cost operative"" AND ""cost effective""",cost effective,331
"""message grouping""",text classification,330
"""misfortune work""",loss function,330
"""Sybil assault""",Sybil attack,329
"""gesture acknowledgment""",gesture recognition,327
"""backing vector""",support vector (in SVM),322
"""ethnic gatherings""",ethnic groups,321
"""incorporate vector"" AND ""feature vector""",feature vector,321
"""indagation""",investigation,319
"""surface harshness""",surface roughness,319
"""overwhelming metals""",heavy metals,317
"""dispersion lattice""",confusion matrix,317
"""laptop vision""",computer vision,317
"""specially appointed system""",ad hoc network,317
"""district of the body""",part of the body,316
"""mind tumor""",brain tumor,315
"""central composite rotary design""",central composite rotatable design (CCRD),315
"""installed framework""",embedded system,311
"""element determination"" AND ""feature selection""",feature selection,311
"""Fluka Kamica""",Fluka Chemica,311
"""enthusiastic state""",emotional state,310
"""naive bias"" AND ""naïve Bayes""",naïve Bayes,310
"""discourse recognition""",speech recognition,309
"""recurrence band""",frequency band,308
"""regenerative system"" AND ""reproductive""",reproductive system,307
"""facial highlights""",facial features,307
"""bosom disease""",breast cancer,306
"""savvy home""",smart home,306
"""repetitive organization""",recurrent network,305
"""extricating highlights""~20 NOT specular",extracting [...] features,304
"""fuzzy rationale""",fuzzy logic,303
"""savvy city""",smart city,303
"""most crowded"" AND ""most populated""",most populated,303
"""warm radiation""",heat radiation,301
"""bosom malignant""",breast cancer,301
"""energy ingesting""",energy consumption,301
"""info and yield""",input and output,301
"""programming bundle""",software package,300
"""particle trade""",ion exchange,299
"""exchange learning"" AND ""transfer learning""",transfer learning,299
"""eliminates adversarial perturbation""",???,299
"""brilliant home""",smart home,297
"""movement business"" AND ""tourism""",tourism industry,297
"""man-in-the-middle assault""",man-in-the-middle attack (MITM),297
"""bracket techniques""",classification methods,297
"""amino corrosive""",amino acid,296
"""an expanding pattern""",an increased trend,294
"""infections forecast""",disease prediction,293
"""cloud registering""",cloud computing,292
"""sound highlight""",sound feature,292
"""pre-prepared model""",pre-trained model,290
"""sexual introduction""",sexual orientation,290
"""CNN engineering""",CNN architecture,289
"""registering asset""",computing resources,288
"""monetary misfortunes""",financial damages,288
"""cardiovascular breakdown""",heart failure,288
"""rule of thump""",rule of thumb,288
"""statistics retrieval""",information retrieval,286
"""preparing pictures""",training images,286
"""expanded reality"" AND ""AR""",augmented reality,286
"""highlight map"" AND ""CNN""",feature map,286
"""way reliance""",path dependence,285
"""element space"" AND ""feature space""",feature space,284
"""information distribution center""",data warehouse,284
"""vitality effective""",energy efficient,284
"""discourse tests""",speech samples,282
"""profound CNN""",deep CNN (neural network),282
"""part-of-speech labeling""",part-of-speech tagging,281
"""restricting site""",binding site,281
"""backing vector machine""",support vector machine (SVM),281
"""256 pieces""",256 bits,281
"""expanded reality"" AND ""augmented reality""",augmented reality,280
"""high-goal"" AND ""high-resolution""",high-resolution,279
"""number juggling""",arithmetic,279
"""profound neural networks""",deep neural network (DNN),278
"""weighty metals""",heavy metals,277
"""principal element analysis""",Principal Component Analysis (PCA),277
"""federated-convolutional-neural-network""",Distributed Convolutional Neural Network,277
"""vanishing slope gradient""~10",vanishing gradient,276
"""automatic number plate detection""",Automatic Number Plate Recognition (ANPR),275
"""social impact UTAUT""~10","social influence, see https://en.wikipedia.org/wiki/Unified_theory_of_acceptance_and_use_of_technology",275
"""attractive reverberation imaging""",magnetic resonance imaging (MRI),275
"""inserted framework""",embedded system,275
"""beginning boundaries""",initial parameters,274
"""dirt impurities""",soil pollutants,274
"""interruption location"" AND ""intrusion detection""",intrusion detection,273
"""square mistake""",(mean) squared error,273
"""query table"" AND ""lookup table""",lookup table,273
"""sign decay"" AND signal",signal decomposition,272
"""automated thinking""",machine learning (ML),272
"""measurably critical""",statistically significant,271
"""getting to know model""",learning model,270
"""speech acknowledgment"" AND ""speech recognition""",speech recognition,270
"""renewable vitality""",renewable energy,269
"""ancient rarities""",artifacts,267
"""learning bend""",learning curve,267
"""increased reality"" AND ""3D""",augmented reality,266
"""choice emotionally supportive""",Decision Support Systems,266
"""structural pitch""","structure, structural features",266
"""injection assault""",injection attack,265
"""genuine positive TP""~5",true positive,265
"""irregular timberland""",random forest,264
"""unaided learning""",unsupervised learning,264
"""grouping calculation"" AND ""clustering algorithm""",clustering algorithm,263
"""choice emotionally supportive network""",decision support system,261
"""cardiovascular wellbeing""",cardiovascular health,261
"""reconnaissance framework""",surveillance system,260
"""bunching strategies""",clustering methods,259
"""irresistible infections""",contagious/transmissible diseases,259
"""preparing database""",training dataset,259
"""neural arrange""",neural network,258
"""proof of idea""",proof of concept,257
"""acknowledgement of feeling""",emotion recognition,257
"""categorization designs""",classification algorithms,256
"""solar board""",solar panel,256
"""random woodland""",random forest,255
"""neural organize""",neural network,254
"""irregularity identification""",anomaly detection,254
"""data and correspondence innovations""",information and communication technologies,253
"""dielectric consistent""",dielectric constant,252
"""Eventually Tom's perusing""",by,251
"""loads and inclinations""",[neural network] weights and biases,251
"""framework breakdown""",Framework Collapse,250
"""arrangement precision""",classification accuracy,249
"""flag classification""",signal classification,249
"""vitality proficient""",energy efficient,249
"""machine education"" AND ""machine learning""",machine learning,248
"""profound neural organization""",deep neural network,248
"""keen home""",smart home,247
"""concentrate highlight"" NOT specular",extract features,247
"""tainted individuals""",infected/affected individuals,246
"""swarm improvement""",particule swarm optimization (PSO),246
"""assault vector""",attack vector,245
"""manually deciding""",???,245
"""component choice"" AND ""feature selection""",feature selection,245
"""acknowledgment of feeling""",emotion recognition,244
"""normalizes the appearance""",Image Enhancement,243
"""regular language handling""",natural language processing,243
"""parcel's edge""",separations margin,242
"""put away in the cloud""",stored in the cloud,242
"""records arrangement""",data classification,241
"""medical expertise (HA)""",healthcare authority (HA),241
"""prescient investigation""",predictive analysis,241
"""colossal information""",big data,240
"""energy thickness"" AND ""energy density""",energy density,240
"""discourse investigation""",speech analysis,239
"""genuine negative TN""~5",true negative,239
"""coaching set""",training set,238
"""unattended learning""",unsupervised learning,238
"""normal language handling""",natural language processing (NLP),238
"""highlight designing""",???,238
"""sub-atomic weight""",molecular weight,237
"""Markova models""",Markov models,237
"""focal sensory system""",Central Nervous System (CNS),237
"""phantom examinations""",spectral analysis,237
"""inexhaustible power"" AND ""renewable energy""",renewable energy,236
"""concealed neuron""",hidden neuron,236
"""component determination"" AND ""feature selection""",feature selection,235
"""Different Object Tracking""",Multiple Object Tracking,235
"""restorative centers""",medical centers,235
"""warmth move""",heat transfer,234
"""irregular woodland""",random forest,234
"""tainted people""",infected people (?),233
"""regenerative organs"" AND ""reproductive""",reproductive organs,232
"""watery arrangement""",aqueous solution,232
"""accuracy of an order""",accuracy of a classification,231
"""relapse strategies"" AND ""regression""",regression methods,231
"""sport hypothesis""",game theory,231
"""feeling analysis"" AND ""sentiment analysis""",sentiment analysis,231
"""totally connected layer""",fully-connected layer (in a neural network),231
"""shrewd agreement""",smart contract,230
"""m-wellbeing""",m-health,230
"""squared mistake""",(mean) squared error,230
"""solitary day""",single day (caveat: false positives),229
"""bundle transmission"" AND ""remote""",packet transmission,229
"""street mishap""",road accident,228
"""speculation execution""",predictive performance,228
"""computational multifaceted nature""",computational complexity,227
"""wavelet decay""",(discrete) wavelet transform (DCT),227
"""highlight determination"" AND ""feature selection""",feature selection,226
"""non-direct"" AND ""non-straight""",non-linear,226
"""created and creating""",developed and developing,226
"""preparation image"" AND ""training image""",training image,225
"""MitM assault""",MitM attack,225
"""shrewd home""",smart home,224
"""cross breed model""~5",hybrid model,223
"""counterfeit neural system""",artificial neural network,223
"""phony news"" AND ""fake news""",fake news,223
"""example acknowledgement"" AND ""pattern recognition""",pattern recognition,222
"""brilliant gadget""",smart device,222
"""emotional translations""",???,221
"""destiny research""",future research,220
